('87.241.85.70', '45554', 'Sweden')
('45.32.138.33', '6789', 'United States')
('167.142.252.131', '45554', 'United States')
('205.207.101.138', '45554', 'United States')
('216.107.177.34', '45554', 'United States')
('218.201.98.196', '1080', 'China')
('74.195.12.168', '45554', 'United States')
('67.208.246.119', '45554', 'United States')
('77.110.22.177', '45554', 'Sweden')
('92.39.47.29', '45554', 'Sweden')
('31.208.141.127', '45554', 'Sweden')
('24.192.116.104', '45554', 'United States')
('120.76.209.77', '1080', 'China')
('104.241.14.196', '45554', 'United States')
('69.168.244.157', '45554', 'United States')
('210.212.238.26', '45554', 'India')
('194.106.238.172', '45554', 'Austria')
('88.131.100.29', '45554', 'Sweden')
('81.230.174.165', '45554', 'Sweden')
('213.21.75.169', '45554', 'Sweden')
('67.205.200.172', '45554', 'United States')
('82.237.237.228', '26554', 'France')
('66.211.27.118', '45554', 'United States')
('88.114.108.233', '45554', 'Finland')
('24.54.103.227', '45554', 'United States')
('213.21.98.71', '45554', 'Sweden')
('69.166.171.244', '45554', 'United States')
('68.171.176.54', '45554', 'United States')
('155.4.59.71', '45554', 'Sweden')
('87.98.233.121', '11652', 'Poland')
('75.81.119.142', '8020', 'United States')
('192.173.162.180', '45554', 'United States')
('204.111.53.107', '45554', 'United States')
('65.60.240.228', '45554', 'United States')
('162.212.143.38', '45554', 'United States')
('71.56.58.56', '45554', 'United States')
('193.91.224.154', '45554', 'Norway')
('189.62.164.47', '16417', 'Brazil')
('179.218.229.50', '65000', 'Brazil')
('8.25.235.206', '45554', 'United States')
('191.184.232.53', '60713', 'Brazil')
('173.214.152.241', '45554', 'United States')
('125.137.97.251', '45554', 'Korea, Republic of')
('66.253.211.181', '45554', 'United States')
('81.165.181.227', '45554', 'Belgium')
('67.197.238.146', '16131', 'United States')
('89.233.248.45', '45554', 'Sweden')
('216.254.250.110', '45554', 'United States')
('66.253.249.143', '45554', 'United States')
('69.14.210.16', '45554', 'United States')
('24.35.100.38', '45554', 'United States')
('68.174.145.110', '45554', 'United States')
('104.145.97.185', '45554', 'United States')
('46.236.100.60', '45554', 'Sweden')
('177.80.85.86', '24226', 'Brazil')
('76.8.185.239', '45554', 'United States')
('67.184.56.169', '31505', 'United States')
('68.224.159.8', '33935', 'United States')
('179.210.24.185', '32670', 'Brazil')
('177.82.112.29', '15562', 'Brazil')
('191.5.238.248', '23837', 'Brazil')
('179.208.35.175', '17546', 'Brazil')
('187.66.253.194', '37493', 'Brazil')
('208.104.170.86', '18554', 'United States')
('83.233.66.140', '45554', 'Sweden')
('50.4.210.8', '45554', 'United States')
('65.50.7.40', '45554', 'United States')
('177.81.191.139', '46206', 'Brazil')
('73.177.63.22', '64553', 'United States')
('98.218.219.152', '34126', 'United States')
